_3FGL,Na,RAJ2000,DEJ2000,amaj,amin,phi,Sig,F35,S25,Gamma,Mod,Var,Flag,Assoc,TeV,Class,ID,Simbad,File,LC,F1,E_F1,F2,E_F2,F3,E_F3,F4,E_F4,F5,E_F5,Source,TYPE,MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,OTYPE,RA_d,DEC_d,SCRIPT_NUMBER_ID,Ang_Sep,Var_1,LL,VHE,SpCl,SEDCl,z,alpha,e_alpha,Var_2,F2_F1,F4_F3
J0000.1+6545,1,0.038,65.752,0.102,0.078,41,6.8,1.0,13.6,2.41,PL,,3,2FGL J2359.6+6543c,,,,Simbad,J0000.1p6545,LC,1.81,0.82,0.69,0.14,1.24,0.23,0.58,0.49,0.28,0.19,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,0.47
J0000.2-3738,1,0.061,-37.648,0.073,0.068,-89,5.1,0.2,2.4,1.87,PL,,,,,,,Simbad,J0000.2-3738,LC,0.01,0.20,0.01,0.03,0.15,0.07,0.75,0.32,0.16,0.15,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,5.00
J0001.0+6314,1,0.254,63.244,0.248,0.160,-65,6.2,0.6,13.0,2.73,PL,,"3,4,5",2FGL J2358.9+6325,,spp,,Simbad,J0001.0p6314,LC,2.91,0.74,0.47,0.11,0.30,0.18,1.16,0.48,0.02,0.13,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,3.87
J0001.2-0748,2,0.321,-7.816,0.082,0.070,-19,11.3,0.7,7.8,2.15,PL,,,2FGL J0000.9-0748,,bll,PMN J0001-0746,Simbad,J0001.2-0748,LC,0.41,0.26,0.21,0.05,0.52,0.11,2.11,0.51,0.10,0.15,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,4.06
J0001.4+2120,1,0.361,21.338,0.211,0.188,-33,11.4,0.3,8.1,2.78,LP,T,,3EG J2359+2041,,fsrq,TXS 2358+209,Simbad,J0001.4p2120,LC,1.52,0.24,0.36,0.05,0.36,0.10,0.00,0.19,0.00,0.11,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.00
J0001.6+3535,1,0.404,35.590,0.213,0.167,8,4.2,0.3,3.4,2.35,PL,,4,,,,,Simbad,J0001.6p3535,LC,0.95,0.27,0.04,0.04,0.17,0.09,0.40,0.31,0.23,0.19,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,2.35
J0002.0-6722,1,0.524,-67.370,0.102,0.086,69,5.9,0.3,3.3,1.95,PL,,,,,,,Simbad,J0002.0-6722,LC,0.05,0.28,0.06,0.03,0.20,0.08,0.83,0.32,0.28,0.19,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,1.20,4.15
J0002.2-4152,2,0.562,-41.883,0.217,0.140,68,5.2,0.3,3.0,2.09,PL,,,2FGL J0001.7-4159,,bcu,1RXS J000135.5-415519,Simbad,J0002.2-4152,LC,0.53,0.22,0.06,0.03,0.09,0.07,0.98,0.36,0.26,0.19,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,10.89
J0002.6+6218,1,0.674,62.301,0.061,0.054,-55,18.0,2.8,18.4,2.35,LP,,,2FGL J0002.7+6220,,,,Simbad,J0002.6p6218,LC,1.05,0.40,0.80,0.09,2.44,0.23,3.58,0.69,0.00,0.15,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,1.47
J0003.2-5246,1,0.815,-52.777,0.070,0.061,-44,5.7,0.3,3.0,1.90,PL,,,,,bcu,RBS 0006,Simbad,J0003.2-5246,LC,0.66,0.38,0.00,0.03,0.18,0.08,0.79,0.36,0.30,0.19,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,4.39
J0003.4+3100,1,0.858,31.008,0.181,0.163,13,6.3,0.3,4.9,2.55,PL,,,,,,,Simbad,J0003.4p3100,LC,0.86,0.27,0.15,0.04,0.36,0.10,0.20,0.26,0.01,0.14,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.56
J0003.5+5721,1,0.890,57.360,0.089,0.072,1,5.4,0.5,5.4,2.18,PL,,,,,,,Simbad,J0003.5p5721,LC,0.00,0.31,0.23,0.07,0.49,0.14,0.92,0.41,0.24,0.16,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,1.88
J0003.8-1151,1,0.959,-11.863,0.130,0.100,-17,4.2,0.2,2.6,2.02,PL,,,,,bcu,PMN J0004-1148,Simbad,J0003.8-1151,LC,0.01,0.21,0.05,0.04,0.23,0.08,0.47,0.30,0.18,0.16,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,2.04
J0004.2+0843,1,1.057,8.727,0.090,0.086,-67,4.7,0.3,3.0,2.05,PL,,"1,4,5",,,,,Simbad,J0004.2p0843,LC,0.23,0.25,0.03,0.04,0.12,0.09,1.16,0.41,0.08,0.12,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,9.67
J0004.2+6757,1,1.055,67.959,0.101,0.090,-70,6.0,0.8,12.0,2.50,PL,,,,,,,Simbad,J0004.2p6757,LC,0.59,1.16,0.56,0.13,0.59,0.19,1.15,0.47,0.09,0.11,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,1.95
J0004.7-4740,2,1.181,-47.671,0.090,0.078,-41,14.5,0.7,9.2,2.40,PL,T,,2FGL J0004.7-4736,,fsrq,PKS 0002-478,Simbad,J0004.7-4740,LC,1.11,0.29,0.34,0.04,0.60,0.10,1.34,0.40,0.00,0.17,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,2.23
J0006.2+0135,1,1.572,1.585,0.098,0.075,58,5.5,0.3,3.4,2.19,PL,,,,,,,Simbad,J0006.2p0135,LC,0.33,0.26,0.08,0.04,0.22,0.09,0.48,0.30,0.21,0.17,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,2.18
J0006.4+3825,2,1.612,38.418,0.225,0.142,32,10.5,0.6,10.4,2.62,PL,T,,2FGL J0006.1+3821,,fsrq,S4 0003+38,Simbad,J0006.4p3825,LC,2.22,0.40,0.35,0.06,0.58,0.12,0.36,0.31,0.08,0.18,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.62
J0006.6+4618,1,1.651,46.305,0.142,0.115,-79,4.6,0.3,4.2,2.42,PL,,,,,,,Simbad,J0006.6p4618,LC,1.80,0.51,0.13,0.06,0.19,0.10,0.31,0.26,0.34,0.21,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,1.63
J0007.0+7302,6,1.766,73.050,0.007,0.007,-67,288.7,64.9,425.6,1.88,EC,,,1FHL J0007.3+7303,E,PSR,LAT PSR J0007+7303,Simbad,J0007.0p7302,LC,16.70,0.38,11.17,0.12,48.12,0.57,153.00,2.88,14.47,0.88,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,3.18
J0007.4+1742,1,1.869,17.711,0.214,0.169,-19,4.6,0.3,3.4,2.31,PL,,,,,,,Simbad,J0007.4p1742,LC,0.40,0.31,0.10,0.04,0.22,0.09,0.43,0.29,0.16,0.17,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1.95
J0007.9+4006,1,1.983,40.107,0.149,0.119,-80,4.5,0.3,3.6,2.28,PL,,,,,,,Simbad,J0007.9p4006,LC,0.22,0.30,0.13,0.05,0.16,0.09,0.60,0.33,0.15,0.15,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,3.75
J0008.0+4713,2,2.017,47.228,0.033,0.030,-13,24.7,2.0,21.9,2.02,PL,,,1FHL J0007.7+4709,,bll,MG4 J000800+4712,Simbad,J0008.0p4713,LC,0.57,0.44,0.44,0.06,1.40,0.15,5.75,0.71,1.29,0.35,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,4.11
J0008.3+1456,1,2.088,14.934,0.143,0.124,60,6.5,0.4,4.9,2.27,PL,,,1FGL J0008.3+1452,,,,Simbad,J0008.3p1456,LC,0.38,0.28,0.13,0.05,0.38,0.10,0.75,0.37,0.15,0.17,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,1.97
J0008.5+6853,2,2.141,68.887,0.493,0.454,-79,8.4,1.0,8.8,2.46,LP,,"1,3,9",2FGL J0007.7+6825c,,,,Simbad,J0008.5p6853,LC,0.57,0.33,0.42,0.09,0.93,0.20,0.28,0.43,0.00,0.14,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,0.30
J0008.6-2340,2,2.174,-23.672,0.074,0.066,-61,6.7,0.2,3.5,1.60,PL,,,1FHL J0008.7-2340,,bll,RBS 0016,Simbad,J0008.6-2340,LC,0.00,0.16,0.00,0.03,0.20,0.08,0.30,0.25,0.72,0.28,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50
J0008.7+6558,1,2.191,65.968,0.119,0.097,28,8.7,0.7,13.2,2.46,LP,,"4,12",2FGL J0010.5+6556c,,,,Simbad,J0008.7p6558,LC,1.68,0.42,0.74,0.13,0.52,0.23,1.20,0.53,0.13,0.13,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,2.31
